sample_id,polarity,intensity,probability_negative,probability_neutral,probability_positive,polarity_label,normalized_entropy,max_probability
附件3_01,1,-0.6251694560050964,0.3980226218700409,0.4910650253295898,0.110912375152111,Neutral,0.8736565988727848,0.4910650253295898
附件3_02,1,-0.1463527679443359,0.1551917791366577,0.6500871181488037,0.1947211474180221,Neutral,0.8080159756008953,0.6500871181488037
附件3_03,1,0.0273095425218343,0.1996611803770065,0.506828784942627,0.2935101091861725,Neutral,0.9338234460209417,0.506828784942627
附件3_04,2,0.6701800227165222,0.0771639719605445,0.2079584598541259,0.7148776054382324,Positive,0.6956104835428981,0.7148776054382324
附件3_05,0,-1.0174574851989746,0.8515622019767761,0.0950517356395721,0.053386066108942,Negative,0.4705499539879101,0.8515622019767761
附件3_06,2,0.8705129027366638,0.0413055978715419,0.2065071612596511,0.752187192440033,Positive,0.6112983417683673,0.752187192440033
附件3_07,1,-0.3039633333683014,0.2917593419551849,0.5435386300086975,0.1647020429372787,Neutral,0.8991588429483215,0.5435386300086975
附件3_08,0,-0.579804003238678,0.4888327121734619,0.2733002603054046,0.237866997718811,Negative,0.9520945967158023,0.4888327121734619
附件3_09,2,1.0453476905822754,0.0355654694139957,0.0837833359837532,0.8806511759757996,Positive,0.39898303822021924,0.8806511759757996
附件3_10,1,-0.816994845867157,0.3975178897380829,0.5306205153465271,0.07186159491539,Neutral,0.8121040093417451,0.5306205153465271
附件3_11,2,0.5564696788787842,0.0580122508108615,0.4146226346492767,0.5273651480674744,Positive,0.7897562047824687,0.5273651480674744
附件3_12,2,0.1380831152200698,0.2443846613168716,0.3637084662914276,0.3919068872928619,Positive,0.9824283988057684,0.3919068872928619
附件3_13,2,0.0735737755894661,0.3303989470005035,0.20691479742527,0.4626862108707428,Positive,0.9543680252925316,0.4626862108707428
附件3_14,2,0.1203854903578758,0.3695762157440185,0.2252852916717529,0.4051384925842285,Positive,0.9736749400107322,0.4051384925842285
附件3_15,2,0.8362234234809875,0.0509923547506332,0.1556059122085571,0.7934017181396484,Positive,0.5687761595624684,0.7934017181396484
附件3_16,2,0.8198075294494629,0.0626250728964805,0.1219398155808448,0.8154351115226746,Positive,0.5429336037131388,0.8154351115226746
附件3_17,1,-0.297881156206131,0.2331679314374923,0.5969558358192444,0.1698762625455856,Neutral,0.8634579556973246,0.5969558358192444
附件3_18,2,0.271018236875534,0.2202674299478531,0.3333326876163482,0.446399837732315,Positive,0.9643883504297063,0.446399837732315
附件3_19,1,0.1826390475034713,0.1457040160894394,0.5537080764770508,0.3005878925323486,Neutral,0.8822672818630618,0.5537080764770508
附件3_20,1,-0.2403004616498947,0.3130728602409363,0.4154780805110931,0.2714490592479706,Neutral,0.985303818340374,0.4154780805110931
附件3_21,2,0.3693848550319671,0.1258518695831298,0.3253649771213531,0.5487831234931946,Positive,0.8697040293330155,0.5487831234931946
附件3_22,2,-0.0297371577471494,0.3699599504470825,0.2224973440170288,0.4075426757335663,Positive,0.9721953257718089,0.4075426757335663
附件3_23,2,0.7159774899482727,0.0598185807466506,0.3261875808238983,0.6139938235282898,Positive,0.7585803471682271,0.6139938235282898
附件3_24,0,-0.4498759806156158,0.6268606185913086,0.1391847878694534,0.2339546084403991,Negative,0.8256582215898409,0.6268606185913086
附件3_25,2,0.4137602746486664,0.0825076177716255,0.357327938079834,0.5601645112037659,Positive,0.817577967720422,0.5601645112037659
附件3_26,2,0.6604354381561279,0.0906923785805702,0.1973142176866531,0.711993396282196,Positive,0.709781407041901,0.711993396282196
附件3_27,2,0.5867650508880615,0.093021385371685,0.161069169640541,0.7459093928337097,Positive,0.6678267970832044,0.7459093928337097
附件3_28,2,0.6406256556510925,0.0563799105584621,0.3999360501766205,0.5436840057373047,Positive,0.7827730625250051,0.5436840057373047
附件3_29,2,0.5355302691459656,0.0809966251254081,0.2272050380706787,0.6917983889579773,Positive,0.7237939340993848,0.6917983889579773
附件3_30,2,0.490799069404602,0.1361643373966217,0.2759814858436584,0.5878542065620422,Positive,0.8548189448043435,0.5878542065620422
