split,index,target
train,0,1.0
train,1,0.3333333432674408
train,2,-0.3333333432674408
train,3,0.0
train,4,1.3333333730697632
train,5,0.6666666865348816
train,6,2.0
train,7,0.6666666865348816
train,8,0.0
train,9,-0.6666666865348816
train,10,-2.0
train,11,1.0
train,12,0.6666666865348816
train,13,0.6666666865348816
train,14,-0.6666666865348816
train,15,-0.3333333432674408
train,16,0.0
train,17,0.0
train,18,0.3333333432674408
train,19,0.0
train,20,0.6666666865348816
train,21,0.3333333432674408
train,22,1.0
train,23,0.6666666865348816
train,24,0.0
train,25,0.0
train,26,-0.6666666865348816
train,27,-0.3333333432674408
train,28,0.3333333432674408
train,29,0.6666666865348816
train,30,0.3333333432674408
train,31,2.3333332538604736
train,32,0.6666666865348816
train,33,0.0
train,34,0.6666666865348816
train,35,0.0
train,36,0.0
train,37,0.0
train,38,0.0
train,39,0.3333333432674408
train,40,0.0
train,41,1.0
train,42,0.0
train,43,0.0
train,44,-0.3333333432674408
train,45,0.6666666865348816
train,46,0.6666666865348816
train,47,1.6666666269302368
train,48,0.0
train,49,-0.6666666865348816
train,50,-0.6666666865348816
train,51,-0.6666666865348816
train,52,0.0
train,53,2.0
train,54,0.3333333432674408
train,55,0.3333333432674408
train,56,0.0
train,57,1.6666666269302368
train,58,1.6666666269302368
train,59,0.0
train,60,0.0
train,61,0.3333333432674408
train,62,1.0
train,63,1.3333333730697632
train,64,2.3333332538604736
train,65,0.0
train,66,0.0
train,67,-1.3333333730697632
train,68,0.0
train,69,0.6666666865348816
train,70,1.0
train,71,-1.0
train,72,0.0
train,73,-1.3333333730697632
train,74,0.6666666865348816
train,75,1.0
train,76,-1.6666666269302368
train,77,-1.0
train,78,0.6666666865348816
train,79,0.3333333432674408
train,80,0.0
train,81,-1.0
train,82,-1.0
train,83,1.3333333730697632
train,84,-0.3333333432674408
train,85,-2.0
train,86,-1.6666666269302368
train,87,-0.3333333432674408
train,88,-0.6666666865348816
train,89,-1.6666666269302368
train,90,-0.6666666865348816
train,91,-1.6666666269302368
train,92,0.3333333432674408
train,93,-1.3333333730697632
train,94,-2.3333332538604736
train,95,0.0
train,96,-1.6666666269302368
train,97,-1.3333333730697632
train,98,1.3333333730697632
train,99,0.0
train,100,0.6666666865348816
train,101,0.0
train,102,-1.3333333730697632
train,103,0.0
train,104,0.0
train,105,-1.0
train,106,0.0
train,107,0.0
train,108,1.0
train,109,-0.6666666865348816
train,110,-0.6666666865348816
train,111,-1.6666666269302368
train,112,-0.3333333432674408
train,113,0.6666666865348816
train,114,0.0
train,115,-0.6666666865348816
train,116,0.3333333432674408
train,117,-0.3333333432674408
train,118,-2.6666667461395264
train,119,-2.0
train,120,-2.0
train,121,-1.0
train,122,-1.6666666269302368
train,123,0.0
train,124,0.3333333432674408
train,125,0.0
train,126,-0.3333333432674408
train,127,-1.0
train,128,-2.3333332538604736
train,129,-1.3333333730697632
train,130,1.0
train,131,0.0
train,132,1.6666666269302368
train,133,0.3333333432674408
train,134,1.0
train,135,0.3333333432674408
train,136,0.6666666865348816
train,137,0.0
train,138,-0.6666666865348816
train,139,0.0
train,140,-1.0
train,141,-1.3333333730697632
train,142,0.0
train,143,-1.3333333730697632
train,144,3.0
train,145,0.0
train,146,-1.0
train,147,1.6666666269302368
train,148,0.0
train,149,2.3333332538604736
train,150,-0.3333333432674408
train,151,0.6666666865348816
train,152,1.6666666269302368
train,153,1.3333333730697632
train,154,-1.6666666269302368
train,155,-1.3333333730697632
train,156,-2.0
train,157,-1.3333333730697632
train,158,0.0
train,159,-2.3333332538604736
train,160,-1.6666666269302368
train,161,-0.3333333432674408
train,162,-1.6666666269302368
train,163,0.0
train,164,-2.0
