sample_id,polarity,intensity,probability_negative,probability_neutral,probability_positive,polarity_label
附件3_05,0,-1.0174574851989746,0.8515622019767761,0.0950517356395721,0.053386066108942,Negative
附件3_10,1,-0.816994845867157,0.3975178897380829,0.5306205153465271,0.07186159491539,Neutral
附件3_24,0,-0.7114030718803406,0.747145414352417,0.1103471890091896,0.1425073593854904,Negative
附件3_08,0,-0.626530647277832,0.5744346380233765,0.1860202699899673,0.2395450621843338,Negative
附件3_01,1,-0.6251694560050964,0.3980226218700409,0.4910650253295898,0.110912375152111,Neutral
附件3_07,1,-0.288535475730896,0.2855266630649566,0.5411549806594849,0.173318326473236,Neutral
附件3_17,1,-0.279021680355072,0.2239298820495605,0.599449634552002,0.1766204386949539,Neutral
附件3_22,0,-0.2561630308628082,0.5369453430175781,0.1549001783132553,0.308154433965683,Negative
附件3_02,1,-0.1806826442480087,0.1714230179786682,0.6361176371574402,0.1924593597650528,Neutral
附件3_20,1,-0.0244673993438482,0.2263303250074386,0.4056269228458404,0.3680427372455597,Neutral
附件3_03,1,0.0327928699553012,0.2096336632966995,0.4719158113002777,0.3184505403041839,Neutral
附件3_14,0,0.0615073032677173,0.4068282842636108,0.2177469581365585,0.3754247725009918,Negative
附件3_13,2,0.0715279728174209,0.3471576273441314,0.1858710050582885,0.4669713079929352,Positive
附件3_12,2,0.1870102882385254,0.2195610851049423,0.3665632307529449,0.4138756692409515,Positive
附件3_18,2,0.2602705657482147,0.2501817643642425,0.2835474908351898,0.4662707149982452,Positive
附件3_25,2,0.3000089824199676,0.1102229878306388,0.3691954612731933,0.5205815434455872,Positive
附件3_19,1,0.3534611761569977,0.1171521767973899,0.4896286427974701,0.3932191431522369,Neutral
附件3_30,2,0.5373659133911133,0.1218532845377922,0.2315834015607834,0.6465633511543274,Positive
附件3_21,2,0.5393232703208923,0.1019805148243904,0.2210832089185714,0.6769363284111023,Positive
附件3_26,2,0.563413679599762,0.1158698424696922,0.1845261603593826,0.6996039748191833,Positive
附件3_04,2,0.6624274849891663,0.0812563747167587,0.2034024447202682,0.7153412699699402,Positive
附件3_11,2,0.7173407673835754,0.0425366647541523,0.3357669115066528,0.621696412563324,Positive
附件3_28,2,0.766077995300293,0.0373262874782085,0.3687460422515869,0.5939276814460754,Positive
附件3_29,2,0.794038712978363,0.0541406236588954,0.097283698618412,0.8485756516456604,Positive
附件3_15,2,0.8346882462501526,0.0501953512430191,0.1513990312814712,0.798405647277832,Positive
附件3_27,2,0.8684196472167969,0.0597169287502765,0.0826200246810913,0.8576629757881165,Positive
附件3_16,2,0.8987743258476257,0.0497176758944988,0.1084624752402305,0.8418198227882385,Positive
附件3_06,2,0.9326872229576112,0.0381862968206405,0.1775977462530136,0.7842159867286682,Positive
附件3_23,2,0.9615199565887452,0.0344636477530002,0.2105390876531601,0.7549972534179688,Positive
附件3_09,2,1.130693435668945,0.0310926642268896,0.0616731792688369,0.9072341322898864,Positive
